mood,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,0.372,0.74,0.604,0,0.0829,-6.784,0.0379,101.925,0.602
0,0.0282,0.619,0.82,0,0.302,-8.016,0.0309,111.01,0.838
0,0.0524,0.553,0.406,0.686,0.125,-10.498,0.028,108.713,0.231
0,0.281,0.788,0.859,0,0.0424,-2.724,0.0856,141.02,0.822
0,0.329,0.353,0.869,0.000533,0.231,-6.519,0.205,140.504,0.273
0,0.221,0.751,0.549,0,0.112,-7.798,0.106,106.01,0.735
0,0.00834,0.559,0.922,0,0.356,-4.597,0.0504,145.0,0.638
0,0.114,0.537,0.857,0,0.724,-5.791,0.0257,103.989,0.747
0,0.00753,0.672,0.803,0,0.0597,-4.693,0.0285,136.007,0.794
0,0.221,0.67,0.643,1.58e-05,0.142,-7.198,0.0286,129.013,0.893
0,0.00253,0.698,0.844,0.000426,0.124,-4.789,0.0544,105.828,0.896
0,0.0597,0.686,0.86,0,0.19,-3.358,0.0517,130.027,0.417
0,0.0469,0.808,0.897,3.14e-05,0.364,-3.712,0.0348,126.026,0.591
0,0.103,0.712,0.84,0.00221,0.107,-8.944,0.042,119.581,0.902
0,0.646,0.669,0.406,1.27e-05,0.112,-12.186,0.0501,92.964,0.362
0,0.383,0.797,0.679,2.31e-05,0.0677,-9.645,0.0758,119.832,0.96
0,0.0973,0.635,0.808,0,0.141,-5.026,0.0262,131.377,0.726
0,0.127,0.638,0.444,0,0.0905,-14.221,0.196,173.707,0.151
0,0.079,0.641,0.806,0.00158,0.0708,-6.281,0.0323,125.987,0.721
0,0.0687,0.759,0.871,0,0.342,-7.034,0.0391,120.43,0.871
0,0.0394,0.634,0.879,8.92e-06,0.171,-5.268,0.0381,134.421,0.485
0,0.037,0.879,0.693,0.119,0.18,-10.577,0.046,133.231,0.966
0,0.0116,0.596,0.869,0.173,0.0678,-11.97,0.037,109.902,0.944
0,0.0434,0.668,0.73,0.0109,0.368,-6.573,0.0476,98.024,0.146
0,0.000874,0.376,0.771,8.98e-06,0.274,-5.8,0.0422,168.154,0.419
0,0.78,0.639,0.492,0,0.117,-8.497,0.0288,87.033,0.666
0,0.0611,0.679,0.553,7.16e-06,0.139,-14.687,0.0316,109.071,0.946
0,0.000285,0.491,0.831,7.88e-05,0.0761,-5.321,0.0349,193.968,0.828
0,0.176,0.631,0.69,0,0.121,-6.676,0.0531,94.574,0.938
0,0.0215,0.591,0.931,0,0.122,-4.84,0.0557,101.548,0.672
0,0.284,0.594,0.811,0,0.0998,-5.911,0.0319,139.112,0.668
0,0.0398,0.686,0.632,2.2e-06,0.0686,-11.433,0.0353,118.965,0.88
0,0.317,0.714,0.79,1.27e-05,0.198,-3.757,0.109,97.012,0.904
0,0.0682,0.723,0.575,0,0.0579,-6.793,0.0883,89.233,0.877
